REFERENCIA;DESCRIPCION;INVIMA
2207156-T;1.5-Microitornillos Cross de 6mm;Invima:2025DM-0031031
2207157-T;1.5-Microitornillos Cross de 7mm;Invima:2025DM-0031031
2207158-T;1.5-Microitornillos Cross de 8mm;Invima:2025DM-0031031
2207154-ET;1.5-Microtornillos Cross de Emergencia de 4mm;Invima:2025DM-0031031
2207155-ET;1.5-Microtornillos Cross de Emergencia de 5mm;Invima:2025DM-0031031
2207184-ET;1.8-Microitornillos Cross de Emergencia 4mm;Invima:2025DM-0031031
2207186-ET;1.8-Microitornillos Cross de Emergencia 6mm;Invima:2025DM-0031031
2207154-APT;1.5-Microtornillos Cross Autoperforantes de 4mm;Invima:2025DM-0031031
2207155-APT;1.5-Microtornillos Cross Autoperforantes de 5mm;Invima:2025DM-0031031
2207156-APT;1.5-Microtornillos Cross Autoperforantes de 6mm;Invima:2025DM-0031031
187124-RT;1.2-Microplaca recta de 4 orificios  s/p;Invima:2025DM-0031031
187126-RT;1.2-Microplaca recta de 6 orificios s/p;Invima:2025DM-0031031
1871216-RT;1.2-Microplaca recta de 16 orificios s/p (Azul);Invima:2025DM-0031031
1871218-RT;1.2-Microplaca recta de 18 orificios s/p;Invima:2025DM-0031031
187124-RPMT;1.2-Microplaca recta de 4 orif. puente Medio;Invima:2025DM-0031031
187124-RPLT;1.2-Microplaca recta de 4 orif. puente Largo;Invima:2025DM-0031031
187126-RPCT;1.2-Microplaca recta de 6 orif. puente Corto;Invima:2025DM-0031031
187126-RPMT;1.2-Microplaca recta de 6 orif. puente Medio;Invima:2025DM-0031031
187126-RPLT;1.2-Microplaca recta de 6 orif. puente Largo;Invima:2025DM-0031031
187129-OT;1.2 Microplaca Curva  orbital de 9 orificios;Invima:2025DM-0031031
187126-YPCT;1.2-Microplaca en Y 5 Orificios Puente Medio;Invima:2025DM-0031031
187126-XPCT;1.2-Microplaca en Doble  Y de 6 orif. Puente Corto;Invima:2025DM-0031031
187126-XPLT;1.2-Microplaca en Doble  Y de 6 orif. Puente Largo;Invima:2025DM-0031031
187126-TPCT;1.2-Microplaca en T de  6 orificios Puente Corto;Invima:2025DM-0031031
187127-TPCT;1.2-Microplaca en T de 7 orificios Puente Corto;Invima:2025DM-0031031
187124-CUAT;1.2-Microplaca  cuadrada de 4 orificios ;Invima:2025DM-0031031
187126-CUAT;1.2-Microplaca cuadrada de 6 orificios;Invima:2025DM-0031031
187128-CUAT;1.2-Microplaca cuadrada de 8 orificios;Invima:2025DM-0031031
187124-LIPCT;1.2-Microplaca en L 4  Orif. Izq  Puente Corto;Invima:2025DM-0031031
187124-LDPCT;1.2-Microplaca en L 4  Orif. Der  Puente Corto;Invima:2025DM-0031031
187124-LIPMT;1.2-Microplaca en L 4  Orif.  Izq Puente Medio ;Invima:2025DM-0031031
187124-LDPMT;1.2-Microplaca en L 4  Orif.  Der Puente Medio;Invima:2025DM-0031031
187124-LIPLT;1.2-Microplaca en L 4  Orif.  Izq Puente Largo;Invima:2025DM-0031031
187124-LDPLT;1.2-Microplaca en L 4  Orif.  Der Puente Largo;Invima:2025DM-0031031
2207123-T;1.2-Microtornillos Cross de 3mm;Invima:2025DM-0031031
2207124-T;1.2-Microtornillos Cross de 4mm;Invima:2025DM-0031031
2207125-T;1.2-Microtornillos Cross de 5mm;Invima:2025DM-0031031
2207126-T;1.2-Microtornillos Cross de 6mm;Invima:2025DM-0031031
2207123-APT;1.2-Microtornillos Cross Autoperforantes de 3mm;Invima:2025DM-0031031
2207124-APT;1.2-Microtornillos Cross Autoperforantes de 4mm;Invima:2025DM-0031031
